,price,equity,port_ret,w_actual,w_target,mu_ann,sigma_ann,band
2018-08-10,2833.280029296875,1.0794575347147206,-0.0014837566001606461,0.15845264147091118,0.15845264147091118,0.02399881558988926,0.08791557243894542,0.00047183702877155796
2018-08-11,2833.280029296875,1.0795021730233414,4.135253790460425e-05,0.10557833503478509,0.10557833503478509,0.022312266710160764,0.08721444036559876,0.00046807409957611793
2018-08-12,2833.280029296875,1.079552600397921,4.671354615104484e-05,0.05589459123834159,0.05589459123834159,0.020773607759713097,0.08651909190918543,0.0004643422106680089
2018-08-13,2821.929931640625,1.079604250768331,4.7844236946925633e-05,0.0,0.0,-0.036764562550926604,0.0862093009990648,0.0004626795834619668
2018-08-14,2839.9599609375,1.0859588663264284,0.005886060149888239,1.0,1.0,0.05572925369052512,0.08645821337558578,0.00046401547962807193
2018-08-15,2818.3701171875,1.0854981545259623,-0.00042424424603160205,0.0,0.0,-0.05536556802680442,0.08713160709745069,0.0004676295389363795
2018-08-16,2840.68994140625,1.093547610492004,0.007415448780340839,1.0,1.0,0.05992513232587752,0.08786038272292766,0.00047154082923713924
2018-08-17,2850.1298828125,1.0971815957494304,0.0033231157222237684,1.0,1.0,0.10156363592985164,0.08739632283470979,0.0004690502506882611
2018-08-18,2850.1298828125,1.0971815957494304,0.0,1.0,1.0,0.09334597550030851,0.08670096118857815,0.0004653182909918113
2018-08-19,2850.1298828125,1.0971815957494304,0.0,1.0,1.0,0.08588313831747421,0.08601127833386941,0.0004616168089911516
2018-08-20,2857.050048828125,1.0998455721659655,0.0024280177746833775,1.0,1.0,0.11301627682700857,0.08544779830867802,0.0004585926491809761
2018-08-21,2862.9599609375,1.1021206427997656,0.0020685364303643095,1.0,1.0,0.1329045541477454,0.08485133838963849,0.0004553914884744769
2018-08-22,2861.820068359375,1.1016818315142196,-0.0003981517707819515,1.0,1.0,0.11672530821543381,0.08418484821117327,0.00045181448002434317
2018-08-23,2856.97998046875,1.099818598758608,-0.0016912621251552462,1.0,1.0,0.08388385171951696,0.08359942415576416,0.00044867254806379704
2018-08-24,2874.68994140625,1.1066361979561898,0.006198839704363079,1.0,1.0,0.16395593350582438,0.08379161818238569,0.00044970404061913153
2018-08-25,2874.68994140625,1.1066361979561898,0.0,1.0,1.0,0.15092592374843472,0.08312703504027635,0.0004461372671062559
2018-08-26,2874.68994140625,1.1066361979561898,0.0,1.0,1.0,0.1390894544000674,0.08246781559481539,0.00044259928019647665
2018-08-27,2896.739990234375,1.1151245506819687,0.007670409427647185,1.0,1.0,0.23518902896736624,0.08311957184676176,0.00044609721264314556
2018-08-28,2897.52001953125,1.115424829554815,0.00026927832649970007,1.0,1.0,0.22020466291565044,0.08245930930344776,0.00044255362749658035
2018-08-29,2914.0400390625,1.1217843507473098,0.005701434129840033,1.0,1.0,0.2823638681215398,0.08248396962511688,0.00044268597780247176
2018-08-30,2901.1298828125,1.116814476945709,-0.004430329054144866,1.0,1.0,0.19783916970090754,0.08240333932971926,0.0004422532403709341
2018-08-31,2901.52001953125,1.1169646633741308,0.00013447750859452157,1.0,1.0,0.18455971487137252,0.08175021476108006,0.0004387479642596008
